[2018-05-08 10:04:49] [INFO] 启动chrome浏览器
[2018-05-08 10:04:55] [INFO] 打开网址：http://127.0.0.1:8086/discuz/
[2018-05-08 10:04:55] [INFO] 找到相对元素：
[2018-05-08 10:04:56] [INFO] 清空元素内容
[2018-05-08 10:04:56] [INFO] 输入内容：admin
[2018-05-08 10:04:56] [INFO] 找到相对元素：
[2018-05-08 10:04:56] [INFO] 清空元素内容
[2018-05-08 10:04:57] [INFO] 输入内容：password
[2018-05-08 10:04:57] [INFO] 找到相对元素：
[2018-05-08 10:04:57] [INFO] 对元素做点击操作
[2018-05-08 10:05:00] [INFO] 找到相对元素：
[2018-05-08 10:05:01] [INFO] 对元素做点击操作
[2018-05-08 10:05:03] [INFO] 找到相对元素：
[2018-05-08 10:05:04] [INFO] 清空元素内容
[2018-05-08 10:05:04] [INFO] 输入内容：abc
[2018-05-08 10:05:04] [INFO] 找到相对元素：
[2018-05-08 10:05:04] [INFO] 清空元素内容
[2018-05-08 10:05:05] [INFO] 输入内容：abc
[2018-05-08 10:05:05] [INFO] 找到相对元素：
[2018-05-08 10:05:05] [INFO] 对元素做点击操作
[2018-05-08 10:05:11] [INFO] 成功退出浏览器
