[2018-05-30 16:42:55] [INFO] 启动chrome浏览器
[2018-05-30 16:42:59] [INFO] 打开网址：http://127.0.0.1:8086/discuz/
[2018-05-30 16:42:59] [INFO] 找到了元素 [By.id: ls_username]
[2018-05-30 16:43:00] [INFO] 成功获取元素的定位值 id: ls_username
[2018-05-30 16:43:00] [INFO] 找到相对元素： id: ls_username
[2018-05-30 16:43:00] [INFO] 成功获取元素的定位值 id: ls_username
[2018-05-30 16:43:00] [INFO] 清空元素内容 id: ls_username
[2018-05-30 16:43:00] [INFO] 成功获取元素的定位值 id: ls_username
[2018-05-30 16:43:00] [INFO] 在元素 id: ls_username成功输入内容:admin
[2018-05-30 16:43:00] [INFO] 找到了元素 [By.id: ls_password]
[2018-05-30 16:43:00] [INFO] 成功获取元素的定位值 id: ls_password
[2018-05-30 16:43:00] [INFO] 找到相对元素： id: ls_password
[2018-05-30 16:43:00] [INFO] 成功获取元素的定位值 id: ls_password
[2018-05-30 16:43:00] [INFO] 清空元素内容 id: ls_password
[2018-05-30 16:43:00] [INFO] 成功获取元素的定位值 id: ls_password
[2018-05-30 16:43:00] [INFO] 在元素 id: ls_password成功输入内容:password
[2018-05-30 16:43:00] [INFO] 找到了元素 [By.xpath: //*[@id="lsform"]/div/div/table/tbody/tr[2]/td[3]/button]
[2018-05-30 16:43:00] [INFO] 成功获取元素的定位值 xpath: //*[@id="lsform"]/div/div/table/tbody/tr[2]/td[3]/button
[2018-05-30 16:43:00] [INFO] 找到相对元素： xpath: //*[@id="lsform"]/div/div/table/tbody/tr[2]/td[3]/button
[2018-05-30 16:43:00] [INFO] 成功获取元素的定位值 xpath: //*[@id="lsform"]/div/div/table/tbody/tr[2]/td[3]/button
[2018-05-30 16:43:00] [INFO] 对元素： xpath: //*[@id="lsform"]/div/div/table/tbody/tr[2]/td[3]/button做点击操作
[2018-05-30 16:43:04] [INFO] 成功获取元素内容：admin
[2018-05-30 16:43:04] [INFO] 找到了元素 [By.xpath: //*[@id="um"]/p[1]/a[7]]
[2018-05-30 16:43:04] [INFO] 成功获取元素的定位值 xpath: //*[@id="um"]/p[1]/a[7]
[2018-05-30 16:43:04] [INFO] 找到相对元素： xpath: //*[@id="um"]/p[1]/a[7]
[2018-05-30 16:43:06] [INFO] 成功获取元素的定位值 xpath: //*[@id="um"]/p[1]/a[7]
[2018-05-30 16:43:06] [INFO] 对元素： xpath: //*[@id="um"]/p[1]/a[7]做点击操作
